ror_id_url,name
https://ror.org/00x7ekv49,Centrum Wiskunde & Informatica
https://ror.org/03w5dn804,Dutch Institute for Fundamental Energy Research
https://ror.org/00rbjv475,Netherlands eScience Center
https://ror.org/00f9tz983,National Institute for Subatomic Physics
https://ror.org/000k1q888,Netherlands Institute for Radio Astronomy
https://ror.org/02wc0kq10,Space Research Organisation Netherlands
https://ror.org/038x9td67,AMOLF
https://ror.org/04xe7ws48,Advanced Research Center for Nanolithography
https://ror.org/03tkwyq76,HFML-FELIX
https://ror.org/01gntjh03,Royal Netherlands Institute for Sea Research
https://ror.org/03124pm05,Netherlands Institute for the Study of Crime and Law Enforcement
